dispute_id,transaction_id,feedback,dispute_raised,dispute_resolved,status,resolution_days,reason_code_std,reason_category,status_std,unified_txn_id
DISP00001,TXN010912,Merchant Error,2024-05-24,2024-06-15,Resolved,22,OTHER,Other,CLOSED,TXN010912
DISP00002,TXN017990,Merchant Error,2024-11-18,2024-12-17,Resolved,29,OTHER,Other,CLOSED,TXN017990
DISP00003,TXN009268,Merchant Error,2024-02-09,2024-03-04,Resolved,24,OTHER,Other,CLOSED,TXN009268
DISP00004,TXN003258,Unauthorized,2024-09-19,2024-10-02,Resolved,13,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN003258
DISP00005,TXN014414,Merchant Error,2024-12-23,2025-01-14,Resolved,22,OTHER,Other,CLOSED,TXN014414
DISP00006,TXN011619,Unauthorized,2024-12-27,2025-01-11,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN011619
DISP00007,TXN000004,Unauthorized,2024-09-08,2024-09-23,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN000004
DISP00008,TXN019504,Duplicate Charge,2024-03-03,2024-04-11,Resolved,39,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP001234
DISP00009,TXN016169,Duplicate Charge,2024-05-23,2024-06-24,Resolved,32,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP001003
DISP00010,TXN001488,Merchant Error,2024-06-07,2024-07-03,Resolved,26,OTHER,Other,CLOSED,TXN001488
DISP00011,TXN017500,Unauthorized,2024-12-15,2024-12-29,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017500
DISP00012,TXN011349,Unauthorized,2024-02-16,2024-02-27,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN011349
DISP00013,TXN_DUP000851,Duplicate Charge,2024-04-02,2024-05-15,Resolved,43,DUPLICATE_CHARGE,Billing,CLOSED,TXN005973
DISP00014,TXN013787,Duplicate Charge,2024-08-03,2024-09-08,Resolved,36,DUPLICATE_CHARGE,Billing,CLOSED,TXN013787
DISP00015,TXN017119,Unauthorized,2024-06-25,2024-07-10,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017119
DISP00016,TXN017481,Unauthorized,2024-09-02,2024-09-13,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017481
DISP00017,TXN017807,Merchant Error,2024-03-03,2024-03-24,Resolved,21,OTHER,Other,CLOSED,TXN017807
DISP00018,TXN010393,Merchant Error,2024-09-11,2024-10-03,Resolved,22,OTHER,Other,CLOSED,TXN010393
DISP00019,TXN001449,Unauthorized,2024-02-15,2024-03-01,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001449
DISP00020,TXN001998,Unauthorized,2024-07-14,2024-07-25,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN001998
DISP00021,TXN018840,Unauthorized,2024-11-11,2024-11-28,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN018840
DISP00022,TXN008442,Merchant Error,2024-03-18,2024-04-11,Resolved,24,OTHER,Other,CLOSED,TXN008442
DISP00023,TXN008374,Merchant Error,2024-08-27,2024-09-17,Resolved,21,OTHER,Other,CLOSED,TXN008374
DISP00024,TXN018612,Unauthorized,2024-12-12,2024-12-29,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN018612
DISP00025,TXN002615,Unauthorized,2024-01-04,2024-01-16,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN002615
DISP00026,TXN014955,Unauthorized,2024-04-22,2024-05-04,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014955
DISP00027,TXN002606,Merchant Error,2024-05-13,2024-06-09,Resolved,27,OTHER,Other,CLOSED,TXN002606
DISP00028,TXN017278,Unauthorized,2024-10-22,2024-11-08,Resolved,17,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN017278
DISP00029,TXN002194,Unauthorized,2024-12-22,2025-01-02,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN002194
DISP00030,TXN005610,Merchant Error,2024-07-16,2024-08-07,Resolved,22,OTHER,Other,CLOSED,TXN005610
DISP00031,TXN019026,Unauthorized,2024-06-25,2024-07-09,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN019026
DISP00032,TXN004639,Unauthorized,2024-01-20,2024-02-05,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN004639
DISP00033,TXN002696,Merchant Error,2024-09-02,2024-09-26,Resolved,24,OTHER,Other,CLOSED,TXN002696
DISP00034,TXN_DUP001218,Duplicate Charge,2024-03-09,2024-04-09,Resolved,31,DUPLICATE_CHARGE,Billing,CLOSED,TXN003826
DISP00035,TXN_DUP000977,Duplicate Charge,2024-12-13,2025-01-20,Resolved,38,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP000977
DISP00036,TXN015303,Merchant Error,2024-05-26,2024-06-15,Resolved,20,OTHER,Other,CLOSED,TXN015303
DISP00037,TXN011910,Unauthorized,2024-03-17,2024-03-28,Resolved,11,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN011910
DISP00038,TXN013391,Merchant Error,2024-08-07,2024-08-27,Resolved,20,OTHER,Other,CLOSED,TXN013391
DISP00039,TXN012760,Duplicate Charge,2024-04-10,2024-05-15,Resolved,35,DUPLICATE_CHARGE,Billing,CLOSED,TXN_DUP001665
DISP00040,TXN013190,Unauthorized,2024-04-20,2024-05-09,Resolved,19,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN013190
DISP00041,TXN018846,Merchant Error,2024-08-22,2024-09-17,Resolved,26,OTHER,Other,CLOSED,TXN018846
DISP00042,TXN014215,Merchant Error,2024-02-21,2024-03-16,Resolved,24,OTHER,Other,CLOSED,TXN014215
DISP00043,TXN002896,Merchant Error,2024-05-01,2024-05-29,Resolved,28,OTHER,Other,CLOSED,TXN002896
DISP00044,TXN014204,Unauthorized,2024-12-23,2025-01-07,Resolved,15,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN014204
DISP00045,TXN013147,Unauthorized,2024-11-25,2024-12-07,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN013147
DISP00046,TXN005382,Merchant Error,2024-05-16,2024-06-08,Resolved,23,OTHER,Other,CLOSED,TXN005382
DISP00047,TXN007784,Unauthorized,2024-05-26,2024-06-07,Resolved,12,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007784
DISP00048,TXN005140,Unauthorized,2024-09-17,2024-10-05,Resolved,18,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN005140
DISP00049,TXN014981,Merchant Error,2024-04-26,2024-05-24,Resolved,28,OTHER,Other,CLOSED,TXN014981
DISP00050,TXN003686,Duplicate Charge,2024-12-28,2025-02-08,Resolved,42,DUPLICATE_CHARGE,Billing,CLOSED,TXN003686
DISP00051,TXN003184,Merchant Error,2024-07-15,2024-08-13,Resolved,29,OTHER,Other,CLOSED,TXN003184
DISP00052,TXN_DUP000920,Duplicate Charge,2024-06-08,2024-07-08,Resolved,30,DUPLICATE_CHARGE,Billing,CLOSED,TXN002495
DISP00053,TXN003681,Merchant Error,2024-05-17,2024-06-15,Resolved,29,OTHER,Other,CLOSED,TXN003681
DISP00054,TXN_DUP001051,Duplicate Charge,2024-12-04,2025-01-13,Resolved,40,DUPLICATE_CHARGE,Billing,CLOSED,TXN003240
DISP00055,TXN014719,Merchant Error,2024-04-18,2024-05-08,Resolved,20,OTHER,Other,CLOSED,TXN014719
DISP00056,TXN011961,Duplicate Charge,2024-04-26,2024-06-01,Resolved,36,DUPLICATE_CHARGE,Billing,CLOSED,TXN011961
DISP00057,TXN007243,Unauthorized,2024-03-04,2024-03-18,Resolved,14,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN007243
DISP00058,TXN_DUP001890,Duplicate Charge,2024-12-22,2025-02-05,Resolved,45,DUPLICATE_CHARGE,Billing,CLOSED,TXN004464
DISP00059,TXN018640,Merchant Error,2024-12-07,2025-01-05,Resolved,29,OTHER,Other,CLOSED,TXN018640
DISP00060,TXN002385,Merchant Error,2024-05-09,2024-06-08,Resolved,30,OTHER,Other,CLOSED,TXN002385
DISP00061,TXN003041,Unauthorized,2024-02-15,2024-03-02,Resolved,16,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN003041
DISP00062,TXN012322,Unauthorized,2024-12-07,2024-12-17,Resolved,10,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN012322
DISP00063,TXN015508,Unauthorized,2024-05-12,2024-05-25,Resolved,13,FRAUD_UNAUTHORISED,Fraud,CLOSED,TXN015508
DISP00064,TXN001929,Merchant Error,2024-01-15,2024-02-11,Resolved,27,OTHER,Other,CLOSED,TXN001929
DISP00065,TXN_DUP000752,Duplicate Charge,2024-06-08,2024-07-17,Resolved,39,DUPLICATE_CHARGE,Billing,CLOSED,TXN003426
DISP00066,TXN019022,Merchant Error,2024-03-24,2024-04-20,Resolved,27,OTHER,Other,CLOSED,TXN019022
DISP00067,TXN013591,Merchant Error,2024-12-01,2024-12-30,Resolved,29,OTHER,Other,CLOSED,TXN013591
DISP00068,TXN005521,Merchant Error,2024-04-17,2024-05-12,Resolved,25,OTHER,Other,CLOSED,TXN005521
