transaction_id,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,source_system,source_txn_id,minute_bucket,match_signature,dupe_group_id,is_duplicate,unified_txn_id,customer_id_str,customer_id
TXN000001,2024-12-07,C02682,134.75,No,M0188,Los Angeles,IL,86352,5999,,CORE,C-TXN000001,2024-12-07,C02682|M0188|134.75|2024-12-07 00:00:00,,0,TXN000001,392,392
TXN000002,2024-03-01,C04971,91.93,Yes,M0145,Atlanta,TX,33651,5814,,VISA,V-TXN000002,2024-03-01,C04971|M0145|91.93|2024-03-01 00:00:00,,0,TXN000002,1651,1651
TXN000003,2024-03-09,C00020,77.77,Yes,M0503,Chicago,AZ,94352,5732,,ATM,A-TXN000003,2024-03-09,C00020|M0503|77.77|2024-03-09 00:00:00,,0,TXN000003,87,87
TXN000004,2024-09-08,C04329,67.8,Yes,M0363,Atlanta,FL,40530,5999,,ATM,A-TXN000004,2024-09-08,C04329|M0363|67.8|2024-09-08 00:00:00,,0,TXN000004,1163,1163
TXN000005,2024-06-10,C00793,67.64,No,M0695,Atlanta,TX,37339,5814,,VISA,V-TXN000005,2024-06-10,C00793|M0695|67.64|2024-06-10 00:00:00,,0,TXN000005,1403,1403
TXN000006,2024-05-03,C07223,31.36,Yes,M0376,New York,IL,25953,5411,,ATM,A-TXN000006,2024-05-03,C07223|M0376|31.36|2024-05-03 00:00:00,,0,TXN000006,866,866
TXN000007,2024-11-24,C03290,10.25,No,M0648,New York,FL,86375,5814,,CORE,C-TXN000007,2024-11-24,C03290|M0648|10.25|2024-11-24 00:00:00,,0,TXN000007,153,153
TXN000008,2024-03-27,C02475,267.06,Yes,M0115,Houston,FL,53218,5411,,ATM,A-TXN000008,2024-03-27,C02475|M0115|267.06|2024-03-27 00:00:00,,0,TXN000008,2520,2520
TXN000009,2024-12-09,C01973,59.5,Yes,M0642,Atlanta,AZ,11025,5814,,VISA,V-TXN000009,2024-12-09,C01973|M0642|59.5|2024-12-09 00:00:00,,0,TXN000009,2712,2712
TXN000010,2024-05-03,C04821,13.56,Yes,M0403,Chicago,TX,84419,5814,,CORE,C-TXN000010,2024-05-03,C04821|M0403|13.56|2024-05-03 00:00:00,,0,TXN000010,618,618
TXN000011,2024-12-25,C01714,42.18,Yes,M0507,Atlanta,GA,89829,4111,,VISA,V-TXN000011,2024-12-25,C01714|M0507|42.18|2024-12-25 00:00:00,,0,TXN000011,2338,2338
TXN000012,2024-12-17,C00909,47.35,Yes,M0223,Chicago,TX,29063,5732,,VISA,V-TXN000012,2024-12-17,C00909|M0223|47.35|2024-12-17 00:00:00,,0,TXN000012,1519,1519
TXN000013,2024-10-16,C01201,173.92,No,M0534,Houston,IL,13905,5999,,ATM,A-TXN000013,2024-10-16,C01201|M0534|173.92|2024-10-16 00:00:00,,0,TXN000013,1932,1932
TXN000014,2024-03-23,C03553,43.52,No,M0073,Dallas,TX,93371,5814,,ATM,A-TXN000014,2024-03-23,C03553|M0073|43.52|2024-03-23 00:00:00,,0,TXN000014,938,938
TXN000015,2024-12-02,C07292,179.14,No,M0651,Chicago,FL,57237,5814,,CORE,C-TXN000015,2024-12-02,C07292|M0651|179.14|2024-12-02 00:00:00,,0,TXN000015,871,871
TXN000016,2024-01-20,C02908,56.75,Yes,M0462,Chicago,TX,49827,6011,,CORE,C-TXN000016,2024-01-20,C02908|M0462|56.75|2024-01-20 00:00:00,,0,TXN000016,1615,1615
TXN000017,2024-03-22,C10507,24.61,No,M0016,Chicago,IL,21927,5999,,ATM,A-TXN000017,2024-03-22,C10507|M0016|24.61|2024-03-22 00:00:00,,0,TXN000017,1135,1135
TXN000018,2024-01-13,C11642,36.94,Yes,M0478,New York,GA,68490,6011,,VISA,V-TXN000018,2024-01-13,C11642|M0478|36.94|2024-01-13 00:00:00,,0,TXN000018,2525,2525
TXN000019,2024-12-26,C02679,160.63,No,M0354,Phoenix,FL,99072,5999,,ATM,A-TXN000019,2024-12-26,C02679|M0354|160.63|2024-12-26 00:00:00,,0,TXN000019,2435,2435
TXN000020,2024-12-24,C04302,23.98,No,M0246,Phoenix,TX,25388,5999,,CORE,C-TXN000020,2024-12-24,C04302|M0246|23.98|2024-12-24 00:00:00,,0,TXN000020,2515,2515
TXN000021,2024-12-11,C02644,86.37,Yes,M0480,Atlanta,CA,58018,5814,,CORE,C-TXN000021,2024-12-11,C02644|M0480|86.37|2024-12-11 00:00:00,,0,TXN000021,1265,1265
TXN000022,2024-11-11,C08036,113.43,Yes,M0118,Chicago,GA,72793,5999,,CORE,C-TXN000022,2024-11-11,C08036|M0118|113.43|2024-11-11 00:00:00,,0,TXN000022,228,228
TXN000023,2024-01-25,C04116,39.94,Yes,M0163,Phoenix,CA,16118,5732,,ATM,A-TXN000023,2024-01-25,C04116|M0163|39.94|2024-01-25 00:00:00,,0,TXN000023,1686,1686
TXN000024,2024-12-14,C02120,140.24,Yes,M0356,Phoenix,TX,14827,5814,,CORE,C-TXN000024,2024-12-14,C02120|M0356|140.24|2024-12-14 00:00:00,,0,TXN000024,975,975
TXN000025,2024-06-23,C07763,40.03,No,M0346,New York,CA,28820,5814,,CORE,C-TXN000025,2024-06-23,C07763|M0346|40.03|2024-06-23 00:00:00,,0,TXN000025,73,73
